external_id,x_center,y_center,width,height,motor_visible
neg_done_ab2014-010-14-19_3_0_averaged_695_frame0.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-13_2_1_averaged_118_frame1.png,-1,-1,-1.0,-1.0,0
T2SS_ab2014-10-29-6_1_0_averaged_763_frame2.png,132,120,33.0,38.0,1
done_ab2014-10-15-3_3_0_averaged_315_frame2.png,166,212,46.0,38.0,1
T2SS_ab2015-05-29-15_1_1_averaged_772_frame0.png,38,202,33.0,49.0,1
neg_done_ab2014-10-29-16_1_1_averaged_532_frame3.png,-1,-1,-1.0,-1.0,0
done_ab2015-05-29-2_1_0_averaged_475_frame1.png,131,94,32.0,54.0,1
neg_done_ab2015-07-28-14_3_1_averaged_160_frame0.png,-1,-1,-1.0,-1.0,0
neg_Bacillus_lysate_aba2013-09-05-1_0_0_averaged_20_frame3.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-33_3_1_averaged_300_frame4.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-10-15-22_0_0_averaged_53_frame3.png,-1,-1,-1.0,-1.0,0
T2SS_ab2014-10-15-14_0_1_averaged_782_frame1.png,92,136,35.0,54.0,1
done_ab2014-010-14-14_1_0_averaged_571_frame2.png,133,200,28.0,31.0,1
done_ab2015-05-28-3_1_0_averaged_95_frame2.png,189,179,38.0,54.0,1
done_ab2015-02-12-12_0_0_averaged_353_frame1.png,42,220,31.0,50.0,1
neg_done_ab2015-02-12-1_3_0_averaged_399_frame4.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-07-28-11_3_0_averaged_75_frame4.png,-1,-1,-1.0,-1.0,0
done_ab2015-07-29-16_0_0_averaged_673_frame0.png,31,66,40.0,51.0,1
neg_Bacillus_lysate_aba2013-09-05-2_0_0_averaged_19_frame0.png,-1,-1,-1.0,-1.0,0
done_ab2015-02-12-5_1_0_averaged_131_frame3.png,13,142,26.0,22.0,1
done_ab2015-02-12-5_0_0_averaged_129_frame0.png,74,202,31.0,27.0,1
neg_Proteus_mirabilis_qya2015-11-19-27_0_0_averaged_6_frame2.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-010-14-14_1_0_averaged_571_frame1.png,-1,-1,-1.0,-1.0,0
T2SS_ab2014-10-15-13_0_0_averaged_773_frame0.png,34,88,41.0,45.0,1
done_ab2015-02-12-29_0_1_averaged_278_frame1.png,114,202,39.0,59.0,1
neg_done_ab2014-10-15-14_3_1_averaged_308_frame0.png,-1,-1,-1.0,-1.0,0
done_ab2015-05-29-33_1_1_averaged_296_frame2.png,184,225,43.0,50.0,1
done_ab2014-10-29-13_1_0_averaged_635_frame4.png,96,142,27.0,42.0,1
neg_done_ab2015-02-12-5_3_0_averaged_135_frame2.png,-1,-1,-1.0,-1.0,0
Bacilluslysemini0001_part121_33_averaged_frame4.png,90,137,25.0,24.0,1
done_ab2014-010-14-26_1_0_averaged_271_frame1.png,37,114,26.0,33.0,1
done_ab2015-05-29-55_1_1_averaged_460_frame0.png,46,144,39.0,49.0,1
Proteus_mirabilis_qya2015-11-19-29_0_0_averaged_10_frame4.png,-1,-1,-1.0,-1.0,0
done_ab2014-10-29-18_0_0_averaged_481_frame0.png,80,182,43.0,49.0,1
neg_done_ab2015-07-28-11_1_0_averaged_71_frame2.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-010-14-6_2_1_averaged_606_frame4.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-07-29-16_2_0_averaged_677_frame2.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-19_2_1_averaged_590_frame2.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-07-28-25_1_0_averaged_547_frame3.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-19_0_1_averaged_586_frame2.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-10-15-3_0_0_averaged_309_frame1.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-10-15-13_0_0_averaged_241_frame0.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-10-15-21_3_1_averaged_520_frame0.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-10-29-6_1_0_averaged_211_frame2.png,-1,-1,-1.0,-1.0,0
Bacilluslysemini0008_full_averaged_frame2.png,-1,-1,-1.0,-1.0,0
done_ab2014-10-15-3_0_0_averaged_309_frame1.png,104,70,35.0,50.0,1
neg_Proteus_mirabilis_qya2015-11-19-29_0_0_averaged_10_frame0.png,-1,-1,-1.0,-1.0,0
neg_T2SS_ab2015-07-28-11_0_0_averaged_733_frame4.png,-1,-1,-1.0,-1.0,0
done_ab2015-02-12-12_0_0_averaged_353_frame2.png,78,103,32.0,40.0,1
neg_T2SS_ab2015-02-12-27_0_0_averaged_721_frame1.png,-1,-1,-1.0,-1.0,0
done_ab2014-10-15-13_0_0_averaged_241_frame4.png,160,233,34.0,36.0,1
done_ab2014-10-29-24_0_0_averaged_285_frame0.png,127,28,34.0,53.0,1
done_ab2014-10-29-16_0_1_averaged_530_frame0.png,171,43,24.0,46.0,1
T2SS_ab2015-07-28-31_0_0_averaged_757_frame3.png,30,212,37.0,55.0,1
done_ab2015-05-29-59_1_0_averaged_343_frame4.png,118,218,39.0,58.0,1
done_ab2014-10-15-15_1_0_averaged_63_frame2.png,24,228,37.0,48.0,1
neg_Bacillus_lysate_aba2013-09-05-26_0_0_averaged_16_frame4.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-07-28-31_1_0_averaged_171_frame1.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-35_0_0_averaged_449_frame1.png,-1,-1,-1.0,-1.0,0
done_ab2015-07-29-16_2_0_averaged_677_frame1.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-7_2_1_averaged_654_frame3.png,-1,-1,-1.0,-1.0,0
neg_done_ab2014-10-29-1_1_0_averaged_659_frame1.png,-1,-1,-1.0,-1.0,0
neg_done_ab2015-05-29-2_2_0_averaged_477_frame2.png,-1,-1,-1.0,-1.0,0
T2SS_ab2014-10-15-14_0_1_averaged_782_frame0.png,190,176,32.0,51.0,1
neg_done_ab2015-05-29-6_3_0_averaged_127_frame0.png,-1,-1,-1.0,-1.0,0
