filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
T2SS_ab2014-10-29-6_1_0_averaged_763_frame2.png,52324,"{""caption"":""T2SS_ab2014-10-29-6_1_0_averaged_763_frame2"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/T2SS_ab2014-10-29-6_1_0_averaged_763_frame2.png""}",1,0,"{""name"":""rect"",""x"":115.5,""y"":101.0,""width"":33.0,""height"":38.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2014-10-15-3_3_0_averaged_315_frame2.png,56114,"{""caption"":""done_ab2014-10-15-3_3_0_averaged_315_frame2"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2014-10-15-3_3_0_averaged_315_frame2.png""}",1,0,"{""name"":""rect"",""x"":143.0,""y"":193.0,""width"":46.0,""height"":38.0}","{""name"":""flagellum"",""type"":""bacteria""}"
T2SS_ab2015-05-29-15_1_1_averaged_772_frame0.png,43432,"{""caption"":""T2SS_ab2015-05-29-15_1_1_averaged_772_frame0"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/T2SS_ab2015-05-29-15_1_1_averaged_772_frame0.png""}",1,0,"{""name"":""rect"",""x"":21.5,""y"":177.5,""width"":33.0,""height"":49.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-05-29-2_1_0_averaged_475_frame1.png,56215,"{""caption"":""done_ab2015-05-29-2_1_0_averaged_475_frame1"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-05-29-2_1_0_averaged_475_frame1.png""}",1,0,"{""name"":""rect"",""x"":115.0,""y"":67.0,""width"":32.0,""height"":54.0}","{""name"":""flagellum"",""type"":""bacteria""}"
T2SS_ab2014-10-15-14_0_1_averaged_782_frame1.png,56292,"{""caption"":""T2SS_ab2014-10-15-14_0_1_averaged_782_frame1"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/T2SS_ab2014-10-15-14_0_1_averaged_782_frame1.png""}",1,0,"{""name"":""rect"",""x"":74.5,""y"":109.0,""width"":35.0,""height"":54.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2014-010-14-14_1_0_averaged_571_frame2.png,56196,"{""caption"":""done_ab2014-010-14-14_1_0_averaged_571_frame2"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2014-010-14-14_1_0_averaged_571_frame2.png""}",1,0,"{""name"":""rect"",""x"":119.0,""y"":184.5,""width"":28.0,""height"":31.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-05-28-3_1_0_averaged_95_frame2.png,53694,"{""caption"":""done_ab2015-05-28-3_1_0_averaged_95_frame2"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-05-28-3_1_0_averaged_95_frame2.png""}",1,0,"{""name"":""rect"",""x"":170.0,""y"":152.0,""width"":38.0,""height"":54.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-02-12-12_0_0_averaged_353_frame1.png,58753,"{""caption"":""done_ab2015-02-12-12_0_0_averaged_353_frame1"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-02-12-12_0_0_averaged_353_frame1.png""}",1,0,"{""name"":""rect"",""x"":26.5,""y"":195.0,""width"":31.0,""height"":50.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-07-29-16_0_0_averaged_673_frame0.png,59329,"{""caption"":""done_ab2015-07-29-16_0_0_averaged_673_frame0"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-07-29-16_0_0_averaged_673_frame0.png""}",1,0,"{""name"":""rect"",""x"":11.0,""y"":40.5,""width"":40.0,""height"":51.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-02-12-5_1_0_averaged_131_frame3.png,59575,"{""caption"":""done_ab2015-02-12-5_1_0_averaged_131_frame3"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-02-12-5_1_0_averaged_131_frame3.png""}",1,0,"{""name"":""rect"",""x"":0.0,""y"":131.0,""width"":26.0,""height"":22.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-02-12-5_0_0_averaged_129_frame0.png,59727,"{""caption"":""done_ab2015-02-12-5_0_0_averaged_129_frame0"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-02-12-5_0_0_averaged_129_frame0.png""}",1,0,"{""name"":""rect"",""x"":58.5,""y"":188.5,""width"":31.0,""height"":27.0}","{""name"":""flagellum"",""type"":""bacteria""}"
T2SS_ab2014-10-15-13_0_0_averaged_773_frame0.png,58349,"{""caption"":""T2SS_ab2014-10-15-13_0_0_averaged_773_frame0"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/T2SS_ab2014-10-15-13_0_0_averaged_773_frame0.png""}",1,0,"{""name"":""rect"",""x"":13.5,""y"":65.5,""width"":41.0,""height"":45.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-02-12-29_0_1_averaged_278_frame1.png,58918,"{""caption"":""done_ab2015-02-12-29_0_1_averaged_278_frame1"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-02-12-29_0_1_averaged_278_frame1.png""}",1,0,"{""name"":""rect"",""x"":94.5,""y"":172.5,""width"":39.0,""height"":59.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2015-05-29-33_1_1_averaged_296_frame2.png,52208,"{""caption"":""done_ab2015-05-29-33_1_1_averaged_296_frame2"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2015-05-29-33_1_1_averaged_296_frame2.png""}",1,0,"{""name"":""rect"",""x"":162.5,""y"":200.0,""width"":43.0,""height"":50.0}","{""name"":""flagellum"",""type"":""bacteria""}"
done_ab2014-10-29-13_1_0_averaged_635_frame4.png,53640,"{""caption"":""done_ab2014-10-29-13_1_0_averaged_635_frame4"",""public_domain"":""no"",""image_url"":""http://www.robots.ox.ac.uk/~vgg/images/done_ab2014-10-29-13_1_0_averaged_635_frame4.png""}",1,0,"{""name"":""rect"",""x"":82.5,""y"":121.0,""width"":27.0,""height"":42.0}","{""name"":""flagellum"",""type"":""bacteria""}"
